class_name,mean_confidence,min_confidence,max_confidence,std_confidence
Apis mellifera,0.8498414,0.46506685,0.9999795,0.1602875
Vanessa atalanta,0.88073444,0.15577443,0.9999882,0.2246661
Harmonia axyridis,0.8466578,0.5796129,0.9995204,0.17003214
Pieris rapae,0.98543936,0.96946543,0.9986059,0.012061043
Coccinella septempunctata,0.9281683,0.5151098,0.99999666,0.15217353
Vanessa cardui,0.94862145,0.66921747,0.9999337,0.09693385
Nymphalis antiopa,0.839361,0.30981225,0.99982053,0.23301683
Mantis religiosa,0.865996,0.6456173,0.99970144,0.14591625
Sceliphron caementarium,0.70825064,0.3946653,0.9997123,0.22991724
Noctua pronuba,0.95155907,0.6874487,0.9995912,0.10791333
Aphis nerii,0.93962747,0.7700646,0.9999819,0.098007254
Lycaena phlaeas,0.875695,0.34818926,0.99993443,0.23672898
Pararge aegeria,0.817013,0.45527288,0.99923897,0.23838879
Aglais io,0.7972626,0.35817865,0.9999794,0.2542845
Bombus terrestris,0.8188428,0.38300252,0.99949145,0.22833627
Libellula quadrimaculata,0.86471,0.24372277,0.9992743,0.21927817
Aglais urticae,0.91262263,0.42389485,0.99999833,0.1714972
Mythimna unipuncta,0.8529681,0.25464457,0.9999938,0.23955153
Papilio machaon,0.93588334,0.831458,0.9982241,0.06678083
Lymantria dispar,0.7896602,0.20949085,0.9999925,0.23399064
Thymelicus lineola,0.88337266,0.21965827,0.99999034,0.27110854
Halyomorpha halys,0.94377685,0.73535013,0.9999963,0.08964883
Maniola jurtina,0.8848607,0.3600961,0.99999404,0.23540445
Aedes albopictus,0.99902433,0.9973923,0.99993134,0.0011563867
Macroglossum stellatarum,0.91662204,0.50807333,0.99999845,0.16107139
Vespa crabro,0.98809373,0.94432455,0.99999785,0.016061911
Zelus renardii,0.9997608,0.99946696,0.9999554,0.00021138144
Lasiommata megera,0.86223024,0.38056725,0.99999654,0.17901003
Pieris napi,0.8201004,0.32378346,0.99996316,0.2570669
Polygonia c-album,0.9621345,0.8219739,0.99997854,0.070131086
Plutella xylostella,0.9166339,0.79285115,0.99982303,0.07630147
Coenonympha pamphilus,0.95393336,0.8458597,0.9997371,0.055439025
Argynnis paphia,0.9945129,0.95670384,0.999959,0.012692854
Polyommatus icarus,0.91358405,0.68750644,0.999676,0.11631591
Bombylius major,0.7304915,0.33355176,0.9997446,0.28397584
Ischnura elegans,0.7262017,0.36909243,0.9998801,0.253062
Eristalis tenax,0.84685385,0.24450627,0.9999931,0.2537949
