sample_id,true_label,true_class,predicted_label,predicted_class,correct,prob_Class 0,prob_Class 1,prob_Class 2,prob_Class 3,prob_Class 4,prob_Class 5,prob_Class 6,prob_Class 7,confidence_margin
20,2,Class 2,7,Class 7,0,0.0021477938,0.00015545273,0.0013865222,0.00012490083,0.012366747,4.6889145e-06,8.143481e-07,0.98381305,0.9824265252100304
21,7,Class 7,0,Class 0,0,0.97508293,4.145054e-05,2.1499663e-05,7.991508e-05,0.0011041373,3.3304063e-05,5.784084e-06,0.023631051,0.9514518827199936
25,3,Class 3,7,Class 7,0,0.00030031567,3.063364e-08,8.079434e-05,0.012391864,0.0013893384,4.698438e-06,2.1736214e-05,0.98581123,0.9734193691983819
27,4,Class 4,7,Class 7,0,3.415068e-05,5.2901123e-05,2.743888e-05,1.4232062e-05,2.7712562e-07,5.342878e-07,1.15490096e-07,0.9998703,0.9998700231673467
50,2,Class 2,7,Class 7,0,5.9887604e-08,1.1432079e-05,0.00024467256,0.00012690722,4.8117556e-08,6.714412e-09,3.1062584e-08,0.99961686,0.9993721887876745
69,7,Class 7,5,Class 5,0,0.41548204,8.334711e-09,7.4339404e-08,0.046582583,0.005222698,0.5171125,2.4645904e-06,0.015597654,0.5015148399397731
86,7,Class 7,6,Class 6,0,0.039363295,2.8774468e-05,1.6733231e-06,0.00013311802,0.0014777415,1.4924808e-05,0.67689085,0.28208962,0.39480122923851013
87,7,Class 7,0,Class 0,0,0.9765538,3.7395837e-06,0.0033024922,0.019015366,1.7472829e-07,1.730029e-05,1.2521572e-06,0.0011058023,0.9754479954717681
142,6,Class 6,7,Class 7,0,0.01631816,1.0745468e-06,4.43388e-05,5.573485e-07,9.584157e-06,4.43388e-05,0.14554584,0.83803606,0.6924902200698853
147,7,Class 7,0,Class 0,0,0.60677654,1.4999955e-06,0.00018484726,0.0013246728,6.2511344e-07,2.8919349e-06,4.0354587e-07,0.39170855,0.21506798267364502
184,4,Class 4,7,Class 7,0,0.067378126,0.000118185984,0.000118185984,1.338281e-07,4.4368317e-06,0.00014709537,0.0013119809,0.9309219,0.9309174753616389
193,7,Class 7,6,Class 6,0,1.9702334e-06,3.113174e-10,2.0097286e-10,2.4766267e-08,1.5988016e-08,1.14575194e-07,0.99194837,0.00804945,0.9838989162817597
194,2,Class 2,7,Class 7,0,0.00029544363,0.0003677117,0.029252607,0.00023737866,4.622215e-06,2.1383586e-05,2.3974612e-06,0.96981835,0.9405657462775707
195,2,Class 2,1,Class 1,0,1.6440911e-12,0.9999995,3.4839804e-09,1.201825e-15,4.46723e-15,9.560891e-14,9.656272e-16,4.2933743e-07,0.9999995196788614
213,0,Class 0,3,Class 3,0,0.1211302,4.592715e-05,9.927489e-06,0.6974535,0.050480187,0.0009829457,0.008767144,0.1211302,0.5763233006000519
243,7,Class 7,1,Class 1,0,6.5654036e-05,0.9970277,0.002176643,2.4893083e-08,9.2528545e-08,5.973248e-08,1.0271581e-06,0.0007288245,0.9962988706538454
249,7,Class 7,4,Class 4,0,0.00015670819,1.2716542e-06,5.941676e-08,1.4257404e-07,0.9917596,5.299532e-07,3.3873628e-05,0.008047914,0.9837116841226816
285,2,Class 2,7,Class 7,0,0.28789043,5.100166e-06,0.016741721,7.900422e-06,0.004504048,3.654937e-05,4.0978093e-06,0.6908101,0.6740683633834124
288,0,Class 0,7,Class 7,0,4.3794413e-11,2.9126078e-17,2.9126078e-17,8.612654e-15,1.0719398e-14,3.169747e-12,1.4810324e-13,1.0,0.9999999999562056
298,7,Class 7,0,Class 0,0,0.74771553,0.000546578,1.6486427e-05,0.0008466769,3.9560124e-05,0.000118146854,0.00035284684,0.25036415,0.49735137820243835
305,7,Class 7,0,Class 0,0,0.9322769,1.6680612e-07,1.07682716e-07,5.585313e-08,1.6515896e-05,1.8517123e-06,0.00022818978,0.0674762,0.8648007065057755
315,5,Class 5,2,Class 2,0,1.5988275e-05,0.24279933,0.58261126,0.00014260349,9.205866e-05,0.017573293,2.4766667e-05,0.15674068,0.5650379694998264
328,0,Class 0,7,Class 7,0,0.019039795,0.00029787762,0.0021346842,1.0073577e-06,0.0007147751,3.0084875e-06,6.50306e-07,0.9778081,0.9587683230638504
353,4,Class 4,7,Class 7,0,8.776794e-06,2.6212012e-05,1.6921345e-05,0.00015092579,0.044629052,2.361233e-06,2.361233e-06,0.9551634,0.9105343669652939
361,7,Class 7,0,Class 0,0,0.9999993,1.466405e-11,9.372997e-10,5.4506837e-11,1.0613529e-12,1.1665707e-09,7.6818475e-14,6.650652e-07,0.9999986196790474
369,6,Class 6,7,Class 7,0,0.00030453637,2.4958954e-08,3.1064168e-08,1.7886359e-07,1.143264e-05,1.1546661e-07,1.7709737e-05,0.999666,0.9996482658334571
392,7,Class 7,4,Class 4,0,8.5984375e-10,1.8586137e-10,1.6577464e-09,7.745653e-11,0.91736203,4.5043418e-12,4.4598586e-10,0.08263796,0.8347240760922432
407,0,Class 0,7,Class 7,0,0.0001966167,6.6491526e-07,4.8125155e-08,2.7436257e-05,2.7709913e-07,2.0055811e-08,2.7709913e-07,0.99977475,0.999578137343633
408,4,Class 4,7,Class 7,0,0.09859083,0.00017293518,0.0019197512,0.0037012098,0.013757539,0.00011163949,0.0023893397,0.87935674,0.8655992029234767
449,6,Class 6,7,Class 7,0,2.2268938e-07,1.8251017e-11,2.2715363e-11,9.280428e-08,1.0508707e-10,4.336186e-09,8.277458e-07,0.9999988,0.9999979801613108
453,2,Class 2,7,Class 7,0,0.02120355,0.00570442,0.09809313,2.9882907e-05,1.0005961e-05,3.7192538e-05,4.1699122e-06,0.8749176,0.7768244966864586
489,7,Class 7,0,Class 0,0,0.9994055,3.1056075e-08,1.0296078e-06,1.6108208e-08,5.928363e-06,5.9874935e-08,4.2908195e-07,0.0005869819,0.9988185213878751
491,2,Class 2,7,Class 7,0,0.0014121166,5.9435943e-06,0.019510344,2.4769522e-06,7.471229e-08,0.17401773,6.0028775e-08,0.8050512,0.7855408638715744
527,7,Class 7,0,Class 0,0,0.9447784,0.00023124972,1.6737351e-05,3.617904e-06,1.0804921e-05,8.681368e-06,8.681368e-06,0.05494178,0.8898366019129753
533,7,Class 7,2,Class 2,0,0.0020314208,9.586271e-07,0.7476306,1.1931171e-06,2.3232284e-08,1.664896e-07,4.523764e-10,0.25033572,0.4972948729991913
555,3,Class 3,7,Class 7,0,1.5935578e-06,7.445738e-08,4.287171e-07,0.0005864822,4.8066426e-08,0.00012677249,0.0007299408,0.99855465,0.9979681647964753
560,0,Class 0,7,Class 7,0,0.00085623097,2.075069e-05,5.028911e-07,0.0031826436,0.05472871,7.7900364e-07,9.5998e-05,0.94111437,0.9402581350877881
566,6,Class 6,7,Class 7,0,5.9428157e-08,5.4068083e-11,2.0097315e-10,5.300554e-07,1.4402358e-09,1.14575236e-07,0.008049461,0.9919498,0.9839003356173635
568,2,Class 2,1,Class 1,0,0.10896252,0.62739354,0.0021217081,4.6319697e-06,7.1751615e-06,4.1313717e-05,7.1751615e-06,0.26146197,0.625271835597232
620,7,Class 7,4,Class 4,0,4.895424e-05,0.007508375,0.00011746848,1.6391768e-05,0.59731454,4.895424e-05,0.009344988,0.3856003,0.2117142379283905
638,7,Class 7,0,Class 0,0,0.95533603,3.658333e-06,2.1064263e-05,1.5397905e-08,1.9355505e-10,1.897513e-06,2.6478244e-07,0.044637114,0.9106989204883575
677,7,Class 7,3,Class 3,0,2.2714127e-07,6.851253e-09,2.0461359e-08,0.6584617,3.1382694e-06,2.521492e-06,1.6440007e-08,0.34153244,0.31692925095558167
680,7,Class 7,0,Class 0,0,0.99855703,1.0287337e-06,3.4105826e-05,2.2236831e-07,1.03899245e-08,3.8619824e-08,2.2236831e-07,0.0014073014,0.9971497297519818
687,6,Class 6,5,Class 5,0,3.676208e-10,2.9537078e-10,8.025644e-13,4.5302517e-08,3.3116048e-11,0.60755724,0.39221233,0.0002303585,0.21534490585327148
703,7,Class 7,0,Class 0,0,0.6024483,4.006673e-07,0.0010567368,0.0075729075,1.6697551e-07,6.8898757e-06,1.6697551e-07,0.3889144,0.21353387832641602
749,7,Class 7,2,Class 2,0,0.00030388092,3.81985e-06,0.9975145,3.85795e-08,1.2917907e-08,5.9761646e-08,3.0997253e-08,0.002177706,0.9953367803245783
757,7,Class 7,4,Class 4,0,1.5956052e-06,4.292675e-07,1.2820132e-06,9.2789406e-08,0.9998385,3.4834193e-09,1.8067879e-09,0.0001579849,0.9996804865077138
785,7,Class 7,0,Class 0,0,0.97055066,7.954363e-05,6.3910535e-05,1.9277327e-06,1.5488658e-06,1.3814729e-05,1.3814729e-05,0.0292747,0.9412759561091661
