sample_id,true_label,true_class,predicted_label,predicted_class,correct,prob_Class 0,prob_Class 1,prob_Class 2,prob_Class 3,prob_Class 4,prob_Class 5,prob_Class 6,prob_Class 7
0,7,Class 7,7,Class 7,1,1.4519241e-09,1.3341423e-14,2.5721761e-14,1.1899567e-13,9.560877e-14,2.5978315e-16,2.0666555e-14,1.0
1,7,Class 7,7,Class 7,1,7.530875e-10,5.5599416e-15,1.8616867e-15,1.4957988e-15,1.1899567e-13,4.9100936e-12,6.851621e-13,1.0
2,7,Class 7,7,Class 7,1,1.2946144e-08,1.0401784e-08,5.989228e-08,3.4485222e-07,0.0003045452,1.1546996e-07,8.357462e-09,0.99969494
3,7,Class 7,7,Class 7,1,1.4664053e-11,3.449573e-07,1.1665711e-09,2.249105e-09,4.86161e-10,5.991042e-08,8.443377e-11,0.9999995
4,7,Class 7,7,Class 7,1,3.945092e-12,1.1782072e-11,8.5276144e-13,2.5216323e-10,1.466406e-11,3.589275e-15,2.0462499e-12,1.0
5,7,Class 7,7,Class 7,1,5.4506875e-11,1.0719398e-14,6.172095e-14,6.851634e-13,9.560896e-14,8.443398e-11,3.518732e-11,1.0
6,7,Class 7,7,Class 7,1,0.00019659512,1.04014415e-08,9.2773206e-08,0.00012691319,1.1432617e-05,8.274678e-07,9.2773206e-08,0.99966395
7,7,Class 7,7,Class 7,1,2.4720423e-06,5.9318118e-06,1.9862016e-06,6.65057e-07,1.7892118e-07,8.277359e-07,5.9909716e-08,0.99998784
8,7,Class 7,7,Class 7,1,9.466473e-12,2.5467781e-12,1.627855e-10,1.4375864e-07,1.4957985e-15,5.505053e-13,7.4565136e-08,0.99999976
9,7,Class 7,7,Class 7,1,2.5214605e-10,9.372364e-10,1.29492115e-08,5.3432063e-07,5.2904375e-05,1.4232938e-05,5.3432063e-07,0.9999318
10,7,Class 7,7,Class 7,1,1.0302177e-06,9.4664615e-12,1.0613522e-12,1.825098e-11,2.249103e-09,6.050792e-10,3.44957e-07,0.99999857
11,0,Class 0,0,Class 0,1,0.74771774,0.0001181472,3.956024e-05,3.17853e-05,0.0016323659,6.1892035e-07,9.492715e-05,0.2503649
12,7,Class 7,7,Class 7,1,1.2950094e-08,6.919987e-15,2.0666594e-14,2.0666594e-14,1.1665716e-09,2.5216323e-10,2.0462499e-12,1.0
13,7,Class 7,7,Class 7,1,6.851621e-13,3.1697412e-12,2.8271755e-11,5.4506875e-11,3.5187252e-11,5.4506875e-11,3.5187252e-11,1.0
14,7,Class 7,7,Class 7,1,3.945092e-12,1.3341448e-14,1.3341448e-14,1.0719398e-14,3.518732e-11,4.4231147e-13,3.5538217e-13,1.0
15,7,Class 7,7,Class 7,1,9.372869e-10,7.456409e-08,6.0507144e-10,3.4839323e-09,1.4233718e-05,7.605881e-12,3.4839323e-09,0.9999857
16,7,Class 7,7,Class 7,1,1.1550506e-07,5.4506868e-11,2.0260413e-10,2.2715342e-11,2.7992546e-09,2.521632e-10,5.396857e-09,0.9999999
17,7,Class 7,7,Class 7,1,6.650652e-07,6.0507965e-10,2.799253e-09,3.86756e-08,4.379438e-11,3.945089e-12,2.0060353e-08,0.9999993
18,7,Class 7,7,Class 7,1,1.9862216e-06,6.050789e-10,4.861602e-10,3.518718e-11,2.2491013e-09,3.1384312e-10,6.783968e-11,0.999998
19,7,Class 7,7,Class 7,1,2.799255e-09,6.1111407e-12,1.8251007e-11,1.1899567e-13,8.4433814e-11,2.2941916e-13,1.4519241e-09,1.0
20,2,Class 2,7,Class 7,0,0.0021477938,0.00015545273,0.0013865222,0.00012490083,0.012366747,4.6889145e-06,8.143481e-07,0.98381305
21,7,Class 7,0,Class 0,0,0.97508293,4.145054e-05,2.1499663e-05,7.991508e-05,0.0011041373,3.3304063e-05,5.784084e-06,0.023631051
22,7,Class 7,7,Class 7,1,5.931847e-06,4.3794062e-11,1.466397e-11,8.359962e-09,1.15504356e-07,9.2803816e-08,1.2950014e-08,0.9999938
23,7,Class 7,7,Class 7,1,3.8293533e-06,1.1665672e-09,2.2490974e-09,4.3794246e-11,3.1384315e-10,9.466456e-12,5.4506667e-11,0.9999962
24,7,Class 7,7,Class 7,1,0.00024470512,8.441278e-11,3.1066747e-08,1.15476304e-07,3.828414e-06,4.2922989e-07,3.1376557e-10,0.9997509
25,3,Class 3,7,Class 7,0,0.00030031567,3.063364e-08,8.079434e-05,0.012391864,0.0013893384,4.698438e-06,2.1736214e-05,0.98581123
26,7,Class 7,7,Class 7,1,1.2819675e-06,2.0458446e-12,1.8429428e-13,7.4550385e-08,1.4516365e-09,0.00019662226,5.989869e-08,0.99980193
