class_name,mean_confidence,min_confidence,max_confidence,std_confidence
Class 0,0.92484987,0.33776286,1.0,0.13523036
Class 1,0.9081868,0.45778346,1.0,0.149233
Class 2,0.9386493,0.295396,1.0,0.12895937
Class 3,0.90627205,0.49093062,1.0,0.12825593
Class 4,0.95566887,0.39132285,1.0,0.11433703
Class 5,0.95259374,0.51180327,1.0,0.10587238
Class 6,0.86211926,0.3670768,1.0,0.1805185
Class 7,0.95858777,0.3143691,1.0,0.11109696
Class 8,0.9350089,0.4581075,1.0,0.13513689
Class 9,0.98654944,0.34491843,1.0,0.060579948
