,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13
Class 0,24,2,1,0,0,1,0,0,0,0,0,0,0,13
Class 1,0,465,2,11,0,1,0,1,0,5,0,3,10,153
Class 2,0,3,153,28,0,0,0,0,0,0,0,0,0,14
Class 3,1,6,12,231,0,0,0,0,1,0,0,0,2,18
Class 4,0,0,0,0,30,0,0,0,0,0,0,0,0,9
Class 5,0,0,0,0,0,32,0,0,0,0,0,0,0,30
Class 6,0,0,0,1,0,0,25,0,0,0,0,0,0,25
Class 7,0,1,0,0,0,0,0,84,0,1,0,1,0,34
Class 8,0,0,0,0,0,0,0,0,24,0,0,0,1,13
Class 9,0,10,2,1,0,2,0,0,0,194,0,1,0,59
Class 10,0,2,1,1,0,0,0,0,0,0,29,2,0,19
Class 11,0,3,1,5,0,0,0,2,0,0,0,256,2,38
Class 12,0,3,0,1,0,0,0,1,0,0,0,0,139,26
Class 13,1,99,24,63,4,11,9,3,2,34,11,8,19,9718
